hscode,hsdesc,export_usd_mn,import_usd_mn,net_usd_mn,share_of_total_deficit_pct
3917,"TUBES, PIPES AND HOSES, AND FITTINGS      THEREFOR (FOR EXAMPLE, JOINTS, ELBOWS,    FLANGES), OF PLASTICS",313.43,352.12,-38.69,0.007
3925,"BUILDERS  WARE OF PLASTICS, NOT ELSEWHERE SPECIFIED OR INCLUDED",96.10,133.82,-37.72,0.007
2528,NATRL BORATES AND CNCRTS (W/N CALCND) NATRL BORIC ACID CNTNG NOT MORE THN 85 PERCENT  OF H3BO3 CALCULATED ON THE DRY WEI,0.03,37.52,-37.49,0.007
5404,SYNTHTC MONFLMNT OF>=67 DCTX AND OF CRSS,11.98,49.08,-37.10,0.007
3505,"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED     STARCHES); GLUES BASED ON STARCHES,",64.86,101.87,-37.01,0.006
4911,"OTHER PRINTED MATTER, INCLUDING PRINTED   PICTURES AND PHOTOGRAPHS",53.60,90.20,-36.60,0.006
1509,"OLIVE OIL AND ITS FRACTIONS, WHETHER OR   NOT REFINED, BUT NOT CHEMICALLY MODIFIED",0.46,36.93,-36.47,0.006
5603,"NONWOVENS, WHETHER OR NOT IMPREGNATED,    COATED, COVERED OR LAMINATED",195.63,231.81,-36.18,0.006
0404,WHEY AND PRDCTS CONSTNG OF NTRL MLK CNSTITNTW/N CONTAINING ADDED SGR OR SWEETENG MATTR,3.59,39.11,-35.52,0.006
9615,"COMBS,HAIR",7.83,42.93,-35.09,0.006
1003,BARLEY,2.68,37.77,-35.09,0.006
9620,"MONOPODS, BIPODS, TRIPODS AND SIMILAR ARTICLES",1.78,36.72,-34.95,0.006
8416,"FURNC BURNRS FR LIQUID FUEL,FR PULVRSD    SOLID FUEL/FR GAS;MCHNCL STOKRS,MCHNCL    GRTS,MCHNCL ASH DISCHRGS AND SMLR AP",33.09,67.98,-34.89,0.006
2808,NITRIC ACID; SULPHONITRIC ACIDS,7.10,41.57,-34.47,0.006
4418,"BUILDERS JOINERY AND CARPENTRY OF WOOD,  INCLUDING CELLULAR WOOD PANELS, ASSEMBLED FLOORING PANELS, SHINGLES AND SHAKES",15.61,50.01,-34.40,0.006
9023,"INSTRMNTS,APRTS P MODLS DSIGND FOR        DEMONSTRATIONAL PRPS,UNSUTBL FR OTHR USES",47.19,81.54,-34.35,0.006
7016,"PAVING BLOCKS, SLABS, BRICKS, SQUARES,    TILES AND OTHER ARTICLES OF PRESSED OR    MOULDED GLASS, WHETHER OR NOT WIRED",10.62,44.80,-34.18,0.006
0810,"OTHER FRUIT, FRESH",123.33,157.00,-33.67,0.006
8540,THERMIONIC COLD CATHODE/PHOTO,9.39,43.03,-33.65,0.006
8450,HOUSEHOLD OR LAUNDRY,104.46,137.36,-32.90,0.006
3401,SOAPFORGNC SRFCE,159.02,191.83,-32.81,0.006
9113,"WATCH STRAPS, WATCH BANDS AND WATCH       BRACELETS, AND PARTS THEREOF",10.82,43.42,-32.60,0.006
3215,"PRINTING INK, WRITING OR DRAWING INK AND  OTHER INKS, WHETHER OR NOT CONCENTRATED OR SOLID",234.01,266.60,-32.59,0.006
5906,"RUBBERISED TEXTILE FABRICS, OTHER THAN    THOSE OF HEADING 5902",14.81,46.30,-31.49,0.006
9016,"BLNCS OF A SNSTIVTY OF 5 CG/BTR,W/N WTH WT",2.25,33.64,-31.38,0.005
0602,"OTHER LIVE PLANTS (INCLUDING THEIR ROOTS), CUTTINGS AND SLIPS; MUSHROOM SPAWN",34.11,65.31,-31.20,0.005
7227,"BARS AND RODS, HOT",16.33,47.51,-31.19,0.005
9706,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED  YEARS,13.04,43.45,-30.41,0.005
9029,"REVOLUTION COUNTERS, PRODUCTION COUNTERS, TAXIMETERS, MILEOMETERS, PEDOMETERS AND   THE LIKE; SPEED INDICATORS AND TACHO",27.48,57.39,-29.91,0.005
7105,DUST AND POWDER OF NATURAL OR SYNTHETIC   PRECIOUS OR SEMI,3.35,32.85,-29.49,0.005
3212,PIGMNTS(INCL METLC POWDR AND FLKS) DSPRSD   IN NON,61.65,90.82,-29.16,0.005
6914,OTHER CERAMIC ARTICLES,21.10,50.11,-29.01,0.005
5510,YARN(OTHR THN SWNG THREAD)OF ARTFCL       STAPLE FIBRES NOT PUT UP FR RTL SALE,88.54,116.86,-28.32,0.005
7508,OTHER ARTICLES OF NICKEL,27.74,55.48,-27.74,0.005
1004,OATS,0.25,27.95,-27.70,0.005
1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED   FOR SOWING",165.71,191.65,-25.94,0.005
8468,"MCHNRY AND APPRTS FR SOLDRNG,BRAZNG/WELDNG, W/N CPBL OF CUTNG,EXCL OF HDG NO. 8515;   GAS",23.24,49.06,-25.81,0.005
1803,"COCOA PASTE, WHETHER OR NOT DEFATTED",1.18,26.96,-25.78,0.005
1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED",1.49,26.84,-25.35,0.004
3702,P,0.40,25.62,-25.22,0.004
8513,PORTBL ELCTRC LAMPS DESIGNED TO FUNCTION  BY THEIR OWN SOURCE OF ENERGY OTHR THN    LIGHTING EQPMNTS OF HDG NO.8512,1.30,26.47,-25.17,0.004
1514,"RAPE COLZA/MUSTARD OIL AND ITS FRACTNS      W/N REFINED, BUT NOT CHEMICLLY MODIFIED",27.99,52.67,-24.67,0.004
7217,WIRE OF IRON OR NON,59.76,84.42,-24.66,0.004
6212,"BRSSRS,GRDLS,CORSTS,BRCS,SUSPNDRS,GRTRS AND SMLR ARTCLS AND PRTS THROF,W/N KNTD/CROCHTD",46.86,71.42,-24.56,0.004
2940,SUGRS CHMCLY PURE OTHR THN SUCROSE LACTOSEMALTOSE ETC SUGR ETHRS AND SUGRESTRS AND THR  SLTS BESIDES HDG NO. 2937 2938 O,37.60,62.05,-24.45,0.004
8405,"PRDCR/WTR GAS GNRTRS,ACETLEN GAS GNRTRS AND SMLR WTR PRCS GNRTRS,W/N WTH THEIR PURIFRS",14.59,38.64,-24.05,0.004
9703,"ORIGNL SCLPTRS AND STATUARY,IN ANY MATRL",24.91,48.92,-24.02,0.004
9111,WATCH CASES AND PARTS THEREOF,5.25,28.93,-23.68,0.004
9108,"WATCH MOVEMENTS, COMPLETE AND ASSEMBLED",3.89,27.56,-23.68,0.004
6702,ARTFCL FLOWRS FOLIGE AND FRUIT AND PRTS THREOFARTCLS MADE OF ARTFCL FLOWRS FOLIGE/FRUIT,9.66,32.88,-23.22,0.004
8311,"WIRE,RODS,ELCTRDS ETC OF BS MTL/MTL CRBIDSCOATD/CORED WTH FLX MTRL FR SLDRNG BRAZNG ETC OF MTL/MTL CRBDS WIRE ETC FR MTL",88.08,111.14,-23.07,0.004
5807,"LABELS, BADGES AND SIMILAR ARTICLES OF    TEXTILE MATERIALS, IN THE PIECE, IN STRIPS OR CUT TO SHAPE OR SIZE, NOT EMBROI",9.03,32.07,-23.04,0.004
3915,"WASTE, PARINGS AND SCRAP, OF PLASTICS",1.89,24.87,-22.97,0.004
0511,ANML PRDCTS NES/INCL;DEAD ANMLS OF CHPTR  1 OR 3 UNFIT FOR HUMAN CONSUMPTION,1.50,24.44,-22.94,0.004
5806,NARROW WOVEN FABRICS OTHER THAN GOODS OF  HEADING 5807; NARROW FABRICS CONSISTING OF WARP WITHOUT WEFT ASSEMBLED,77.37,100.05,-22.68,0.004
7314,"CLOTH (INCLUDING ENDLESS BANDS), GRILL,   NETTING AND FENCING, OF IRON OR STEEL     WIRE; EXPANDED METAL OF",33.15,55.81,-22.66,0.004
5606,"GMPD YRN AND STRP ETC OF 5404/5405,(EXCL    OF 5605 AND GMPD HORSHAIR YRN);CHENL YRN    (INCL FLOCK CHENL YRN); LOOPWALE",17.19,39.65,-22.46,0.004
8309,"STPPRS,CAPS ETC INCL CROWN CORKS,SCRW     CAPSETC CAPSLS FR BOTLS,THRD BUNGS,BUNG   COVRS,SEALS AND OTHR PCKNG ACCSSRS,O",129.71,152.04,-22.33,0.004
2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER  OR NOT CALCINED",53.70,75.97,-22.28,0.004
9006,PHTOGRPHC(EXCL CINEMATOGRAPHIC)CAMERAS    PHOTOGRAPHIC FLSHLGHT APPARATUS AND FLSHBLBSEXCPT DSCHRG LMPS OF HDG NO.8539,14.89,36.96,-22.07,0.004
3405,"POLISHES CRMS AND SMLR PRPNS FR FOOTWEAR  FURNTR,FLOORS COACHWORK, GLS/MTL,SCRNG    EXCL WAXES OF HDG NO 3404",12.06,34.02,-21.96,0.004
0809,"APRICOTS, CHERRIES, PEACHES (INCLUDING    NECTARINES), PLUMS AND SOLES, FRESH",0.18,22.13,-21.96,0.004
2712,"PETRLM JELLY,PRAFFIN WAX,MICR",135.86,157.67,-21.81,0.004
9508,"TRVLING( CIRCUESAND MENAGES)PARK RIDE( AMSMENTANDWATR ) ; FAIGRND AMSENTS, INCLUDING SHTING GALRIES; TRAVLING THTERS",5.83,27.59,-21.75,0.004
8113,"CERMETS AND ARTICLES THEREOF, INCLUDING   WASTE AND SCRAP",0.37,21.90,-21.53,0.004
8208,"KNIVES AND CUTTING BLADES, FOR MACHINES OR FOR MECHANICAL APPLIANCES",48.91,70.41,-21.49,0.004
1104,"CEREAL GRAINS OTHERWISE WORKED (E.G.,     HULLED, ROLLED, FLAKED, PEARLED, SLICED,  OR KIBBLED), EXCEPT RICE OF HEADING",17.25,38.18,-20.93,0.004
6006,OTHER KNITTED OR CROCHETED FABRICS,327.68,348.55,-20.87,0.004
4409,"WOOD(INCL STRIPS,FRIZS FOR PARQT FLORNG   NT ASEMBLD) CONTINUSLY SHAPED(TONGD GROVD V",22.24,42.99,-20.75,0.004
4412,"PLYWOOD, VENEERED PANELS AND SIMILAR      LAMINATED WOOD",43.21,63.78,-20.57,0.004
4808,PAPR/PAPRBORD CORRUGTD(WTH/WTHOUT GLUD FLTSRFCE SHETS) CRPD CRNKLD EMBOSD/PRFRTD IN ROLS/SHTS OTHR THN HDG NO 4803,4.26,24.70,-20.43,0.004
6603,"PARTS, TRIMMINGS AND ACCESSORIES OF       ARTICLES OF HEADING 6601 TO 6602",1.16,21.13,-19.97,0.003
5303,"JUTE AND OTHR TXTL BAST FBRS(EXCL FLAX,TRUE HEMP AND RAMIE)RAW/PRCSSD BUTNT SPUN;TOW AND WASTE(INCL YARN WASTE AND GARNT",25.30,44.80,-19.50,0.003
5105,"WOOL AND FINE OR COARSE ANIMAL HAIR,      CARDED OR COMBED (INCLUDING COMBED",9.10,28.49,-19.39,0.003
2204,"WINE OF FRESH GRAPES, INCLUDING FORTIFIED WINES; GRAPE MUST OTHER THAN THAT OF      HEADING 2009",11.50,30.80,-19.30,0.003
6905,ROOFNG TILES CHMNY POTS CWLS ETC ARCHTCTRLORNMNTS AND OTHR CERAMIC CONSTRCTNL GOODS,0.81,20.06,-19.25,0.003
6404,FTWEAR WTH OUTR SOLES OF RUBR,237.95,256.98,-19.03,0.003
6201,"MEN/BOY OVRCOT,CARCOT,CAPE,CLOAK  ANORAK(INCL SKIJACKETS),WIND CHETRS,WINDJACKET AND SMLR ARTCL EXCL THOSE OF HEAD 6203",32.08,51.02,-18.94,0.003
7014,SIGNLLNG GLSS WARE AND OPTCL ELMNTS OF GLSS (EXCL GOODS OF HDG 7015) NT OPTCLY WRKD,0.59,19.52,-18.94,0.003
8519,TURNTABLES (RECORDDECKS)RECORD,1.00,19.73,-18.73,0.003
5004,SLK YARNS(OTHR THN YRN SPUN FROM SLK WSTE)NT PUT UP FOR RETAIL SALE,1.09,19.80,-18.71,0.003
7905,"ZINC PLATES, SHEETS, STRIP AND FOIL",0.27,18.96,-18.68,0.003
6004,"KNITD OR CROCHETED FBRCS OF WIDTH.30CM ,  CONTNG ELASTOMERIC YARN/RUBR>=5% BY WT,    EXCPT HDGNO. 6001",121.72,140.05,-18.33,0.003
3210,OTHR PAINT VARNSHS (INCL ENML LAQURS AND    DSTMPR)PRPRD WATR PGMNT FOR FINSHNG LETHR,0.94,19.19,-18.25,0.003
4907,UNUSD PSTGE REV OR SMLR STMPS OF CURNT/NEWISSU STMP IMPRSD PAPR CHEQ FORM BANK NOTE STOCK SHARE CERTIFCTS AND SMLR TITL,9.79,27.86,-18.07,0.003
9020,"OTHER BREATHING APPLIANCES AND GAS MASKS, EXCLUDING PROTECTIVE MASKS HAVING NEITHER MECHANICAL PARTS NOR REPLACEABLE FIL",6.77,24.69,-17.92,0.003
4101,"RAW HIDES AND SKINS OF BOVINE (INCLUDING  BUFFALO) OR EQUINE ANIMALS (FRESH OR      SALTED, DRIED, LIMED, PICKLED OR OTH",1.40,19.10,-17.70,0.003
3707,CHMCL PRPNS FR PHOTGRHC USES (NT VARNISHESGLUES ETC) UNMXD PRDCTS FOR PHOT USES PUT UP IN MSRD PORTNS/PUT UP FOR RTL SAL,5.89,23.49,-17.60,0.003
8413,"PUMPS FOR LIQUIDS, WHETHER OR NOT FITTED  WITH A",1604.83,1622.34,-17.51,0.003
7101,NATRL/CLTRD PEARLS W/N WRKD/GRD NT STRNG  UNGRD PRLS TMPORARLY STRUNG FOR TRNSPORT,6.90,24.22,-17.32,0.003
1001,WHEAT AND MESLIN,10.29,27.57,-17.28,0.003
8904,TUGS AND PUSHER CRAFT,247.19,264.45,-17.26,0.003
7406,COPPER POWDERS AND FLAKES,4.30,21.49,-17.19,0.003
1702,"OTHER SUGARS, INCLUDING CHEMICALLY PURE   LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE, IN SOLID FORM; SUGAR SYRUPS NOT CONTAI",132.16,149.23,-17.07,0.003
4416,"CASKS, BARRELS, VATS, TUBS AND OTHER      COOPERS PRODUCTS AND PARTS THEREOF, OF   WOOD, INCLUDING STAVES",0.11,17.13,-17.02,0.003
4908,TRANSFERS (DECALCOMANIAS),1.24,17.60,-16.36,0.003
7611,"ALMNM RSVRS,TNKS,VATS ETC.FR ANY MATRL    (EXCL CMPRSSD GAS)OF CPCTY>300L,W/N LND   HT",0.47,16.60,-16.13,0.003
8412,OTHER ENGINES AND MOTORS,720.52,736.12,-15.60,0.003
7321,"STOVS,RANGS,GRATS,COOKRS,BARBECUS,BRAZIRS GAS",20.34,35.87,-15.53,0.003
8503,PARTS SUITABLE FOR USE SOLELY OR          PRINCIPALLY WITH THE MACHINES OF HEADING  8501 OR 8502,1425.97,1441.41,-15.44,0.003
9114,OTHER CLOCK OR WATCH PARTS,18.91,33.96,-15.04,0.003
3703,PHTOGRC PAPR PAPRBRD TXTLS SENSTSD UNEXPSD,0.12,15.02,-14.91,0.003
7207,SEMI,496.46,511.22,-14.76,0.003
2505,NATRL SANDS OF ALL KNDS W/N COLOURED      OTHR THAN METL,0.07,14.73,-14.66,0.003
5112,WOVN FBRCS OF CMBD WOOL/FINE ANML HAIR,24.25,38.82,-14.57,0.003
8709,"WRKS TRUCKS,USD IN FCTRS,DOCK AREA/AIRPORTETC FR SHRT DSTNC TRNSPRT OF GOODS;TRCTRS USD ON RLWAY PLTFORMS;PRTS OF THE AB",20.00,34.44,-14.44,0.003
7504,NICKEL POWDERS AND FLAKES,7.91,22.27,-14.36,0.003
6601,UMBRLS AND SUN,4.74,18.69,-13.95,0.002
9304,"OTHER ARMS (FOR EXAMPLE, SPRING, AIR OR   GAS GUNS AND PISTOLS, TRUNCHEONS),        EXCLUDING THOSE OF HEADING 9307",1.15,14.91,-13.76,0.002
9209,"PRTS(FR EXMPL MCHNSMS FR MUSICL BOXES) AND  ACCESSORIES(FR EXMPL,CRDS ETC)OF MUSICL   INSTRMNTS;MTRONOMS,ETC OF ALL KNDS",9.56,23.30,-13.74,0.002
7319,"SEWNG,KNITING NEEDLS,BODKINS,CROCHET      BOOKSETC.AND SMLR ARTCLS FOR USE IN HAND,OF IRN/ STL;SAFETY PINS AND OTHR PINS",10.74,24.36,-13.62,0.002
7003,"CAST AND ROLD GLS IN SHTS/PROFILES, WH/NT   HAVNG AN ABSRBNT REFLECTING/NON",2.85,16.39,-13.54,0.002
5501,SYNTHETIC FILAMENT TOW,6.07,19.40,-13.33,0.002
4706,PULPS OF FIBRES DERIVED FROM RECOVERED (  WASTE AND SCRAP) PAPER OR PAPERBOARD OR OF OTHER FIBROUS CELLULOSIC MATERIAL,0.88,14.11,-13.22,0.002
9017,"DRWNG,MRKNG",30.37,43.44,-13.07,0.002
5111,WOVEN FABRICS OF CARDED WOOL OR OF CARDED FINE ANIMAL HAIR,6.43,19.50,-13.06,0.002
8213,SCISORS TAILRS SHEARS AND SIMLR SHEARS AND   BLADES THEREFOR,0.83,13.83,-13.01,0.002
7501,"NICKEL MATTES, NICKEL OXIDE SINTERS AND   OTHER INTERMEDIATE PRODUCTS OF NICKEL     METALLURGY",4.96,17.87,-12.91,0.002
8715,BABY CARRIAGES AND PARTS THEREOF,0.11,12.67,-12.56,0.002
2904,"SULPHONATED, NITRATED OR NITROSATED       DERIVATIVES OF HYDROCARBONS, WHETHER OR   NOT HALOGENATED",92.22,104.67,-12.45,0.002
5102,FINE/COARSE ANML HAIR NT CRDED/COMBED,0.04,12.45,-12.41,0.002
2912,"ALDHYDS,W/N WTH OTHR OXYGN FNCTN;CYCLIC   POLYMERS OF ALDEHYDES;PARAFORMALDEHYDE",203.05,215.42,-12.37,0.002
7015,"CLOCK OR WATCH GLASSES AND SIMILAR        GLASSES, GLASSES FOR NON",0.08,12.39,-12.31,0.002
8608,RLWAY/TRMWAY TRCK FXTRS AND FTNGS;MCHNCL AND  ELCTRO,16.78,28.89,-12.11,0.002
3814,"ORGANIC COMPOSITE SOLVENTS AND THINNERS,  NOT ELSEWHERE SPECIFIED OR INCLUDED;      PREPARED PAINT OR VARNISH REMOVERS",15.89,27.96,-12.07,0.002
6814,WRKD MICA AND ARTCLS OF MICA INCL AGGLMRTD/ RECONSTD MICA W/N ON A SUPORT OF PAPR ETC,17.37,29.17,-11.80,0.002
9107,TIME SWITCHES WITH CLOCK OR WATCH MOVEMENT OR WITH SYNCHRONOUS MOTOR,5.37,16.58,-11.21,0.002
6202,"WOMEN/GIRL OVERCOT, CAR",16.78,27.97,-11.19,0.002
6911,"TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD   ARTICLES AND TOILET ARTICLES, OF PORCELAIN OR CHINA",18.23,29.06,-10.83,0.002
4818,TOILT PAPR OR SMLR; PULP/CELULOS WDG/WEBS OF CELULOS FBRS USD IN HOME/HSPTL/SNTRY/  APPRL OF WDTH <=36 CM OR CUT TO SIZE,11.53,22.00,-10.47,0.002
6807,ARTCLS OF ASPHALT/OF SMLR MATRL(FOR EXMPL PETROLEUM BITUMEN OR COAL TAR PITCH),2.80,13.27,-10.47,0.002
2810,OXIDES OF BORON; BORIC ACIDS,2.89,13.28,-10.39,0.002
9010,APARATS AND EQPMNT FR PHOTOGRPHC(INCLD      CINEMATOGRAPHC)LABORATORIS N.E.S.IN THIS  CHAPTER;NEGATOSCOPES PROJECTION SC,1.67,11.94,-10.26,0.002
8214,"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE,   HAIR CLIPPERS, BUTCHERS OR KITCHEN       CLEAVERS, CHOPPERS AND MINCING KNIVE",6.49,16.65,-10.16,0.002
6913,STATUETTES AND OTHER ORNAMENTAL CERAMIC   ARTICLES,1.60,11.75,-10.14,0.002
3918,"FLR COVERING OF PLSTCS,W/N SELF",71.66,81.70,-10.04,0.002
5804,TULLES AND OTHR NET FBRCS EXCL WOVN KNITD   OR CROCHTD FBRCS LACE IN THE PC IN STRPS/ IN MOTFS EXCL FBRCS OF HEDG NO.600,20.01,29.94,-9.93,0.002
9207,"MUSICAL INSTRUMENTS, THE SOUND OF WHICH IS PRODUCED, OR MUST BE AMPLIFIED,          ELECTRICALLY (FOR EXAMPLE, ORGANS, G",27.78,37.66,-9.88,0.002
7503,NICKEL WASTE AND SCRAP,37.97,47.74,-9.77,0.002
7613,ALMNM CONTAINERS FOR COMPRESSED/LQFD GAS,13.23,22.69,-9.46,0.002
2822,COBALT OXIDES AND HYDROXIDES; COMMERCIAL  COBALT OXIDES,3.19,12.08,-8.89,0.002
7004,DRWN AND BLWN GLS IN SHTS WH/NOT HAVNG AN   ABSRBNT REFLCTNG/NON,1.21,10.09,-8.88,0.002
0106,OTHER LIVE ANIMALS,0.00,8.68,-8.68,0.002
7009,GLSS MIRORS W/N FRMD INCL REAR VIEW MIRORS,75.52,84.11,-8.59,0.002
1404,VEG PRODUCTS N.E.S. OR INCLUDED,43.45,51.76,-8.31,0.001
7211,FLT,25.44,33.32,-7.87,0.001
2002,TOMATOES PREPARED OR PRESERVED OTHERWISE  THAN BY VINEGAR OR ACETIC ACID,5.70,13.56,-7.86,0.001
9007,"CINEMATOGRAPHIC CAMERAS AND PROJECTORS,   WHETHER OR NOT INCORPORATING SOUND        RECORDING OR REPRODUCING APPARATUS",5.34,12.85,-7.50,0.001
3820,ANTI,6.31,13.76,-7.45,0.001
0101,"LIVE HORSES, ASSES, MULES AND HINNIES",0.02,7.36,-7.34,0.001
9110,"CMPLT WTCH/CLOCK MVMNTS,UNASSMBLD/PRTLY   ASSMBLD (MVMNT SETS);INCMPLT WTCH/CLOCK   MVMNTS,ASSMBLD;ROUGH WTCH/CLOCK MVMN",0.02,7.20,-7.19,0.001
0601,"BULBS, TUBERS, TUBEROUS ROOTS, CORMS,     CROWNS AND RHIZOMES, DORMANT, IN GROWTH OR IN FLOWER; CHICORY PLANTS AND ROOTS",0.48,7.50,-7.02,0.001
4401,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN   CHIPS OR PARTICLES; SAWDUST AND WOOD",0.16,7.09,-6.93,0.001
3407,MODELLING PASTES AND OTHR PRPNS IN DIFFRNT  FORM USED IN DENTISTRY WTH A BASIS        OF PLSTR (OF CALCND GYPSUM/CAL SLP,4.76,11.51,-6.75,0.001
4807,COMPOSITE PAPR/PAPRBORD(MADE BY STIKING   WITH ADHESIV)NT SURFCE COTD/IMPREGNTED W/ NINTERNALY REINFORCD IN ROLS/SHEETS,5.82,12.36,-6.55,0.001
2813,SULPHIDES OF NON,9.16,15.65,-6.49,0.001
4115,"COMPOSITION LEATHER WITH A BASIS OF       LEATHER OR LEATHER FIBER, IN SLABS, SHEETS OR STRIP, WHETHER OR NOT IN ROLLS;",0.07,6.53,-6.46,0.001
5911,"TEXTILE PRODUCTS AND ARTICLES, FOR        TECHNICAL USES, SPECIFIED IN NOTE 8 TO    THIS CHAPTER",95.30,101.73,-6.43,0.001
9993,SPECIAL TRANSACTIONS AND COMMODITIES NOT    CLASSIFIED ACCORDING TO KIND,0.28,6.61,-6.33,0.001
9106,"TIME OF DAY RECORDING APPRTS AND APPRTS FR  MEASURNG,RECORDNG/INDCTNG INTRVLS OF TIME,WITH CLOCK/WATCH MVMNT/WITH SYNCHR",0.39,6.71,-6.32,0.001
2816,"HYDROXIDE AND PEROXIDE OF MAGNESIUM;      OXIDES, HYDROXIDES AND PEROXIDES, OF      STRONTIUM OR BARIUM",6.30,12.58,-6.28,0.001
6101,"MENS/BOYS OVERCOATS,CAR",9.46,15.56,-6.10,0.001
2703,PEAT(INCLDNG PEAT LITTER) W/N AGLOMRTD,0.13,6.11,-5.98,0.001
1210,"HOP CONES, FRESH OR DRIED, WHETHER OR NOT GROUND, POWDERED OR IN THE FORM OF        PELLETS; LUPULIN",0.16,6.10,-5.94,0.001
4302,TND/DRSD FURSKINS(INCL HEADS,0.04,5.96,-5.92,0.001
1510,"OTHR OILS,FRACTN OBTNED SOLELY FRM OLIVES W/N RFEND,NOT CHMCLY MODFIED INCL BLNDS OF OIL/FRACTNS WITH OIL/FRACTN OF 1509",0.15,5.86,-5.71,0.001
9619,"SANITARY TOWELS (PADS) AND TAMPONS, NAPKINS(DIAPERS), NAPKIN LINERS AND SIMILAR ARTICLES, OF ANY MATERIAL",41.57,47.27,-5.69,0.001
7315,"CHAIN AND PARTS THEREOF, OF IRON OR STEEL",73.94,79.64,-5.69,0.001
5808,"BRAIDS IN THE PIECE; ORNAMENTAL TRIMMINGS IN THE PIECE, WITHOUT EMBROIDERY, OTHER   THAN KNITTED OR CROCHETED; TASSELS,",13.11,18.71,-5.60,0.001
9610,"SLATES AND BOARDS, WITH WRITING OR DRAWING SURFACES, WHETHER OR NOT FRAMED",0.47,5.95,-5.48,0.001
4704,CHMCL WOOD PULP SULPHITE EXCPT DISOLVNG GR,0.00,5.44,-5.43,0.001
4501,"NATURAL CORK, RAW OR SIMPLY SDF KSDF JKLSD PREPARED; WASTE CORK; CRUSHED, GRANULATED OR GROUND CORK",0.22,5.64,-5.43,0.001
8007,OTHER ARTICLES OF TIN,1.17,6.56,-5.39,0.001
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN",0.00,5.24,-5.24,0.001
1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN",2.20,7.43,-5.23,0.001
4413,"DENSIFIED WOOD, IN BLOCKS, PLATES, STRIPS, OR PROFILE SHAPES",3.66,8.78,-5.12,0.001
8310,"SIGN PLTS,NAME PLTS,ADDRS PLTS AND SMLR     PLTSNUMBRS,LTTRS AND SYMBOLS,OF BS MTL          EXCLD OF HDG NO.9405",8.13,12.80,-4.68,0.001
4814,WALPAPR AND SMLR WAL COVERNGS WINDOW        TRANSPARENCIS OF PAPR,20.49,25.02,-4.53,0.001
6116,"GLOVES, MITTENS AND MITTS, KNITTED OR     CROCHETED",34.42,38.90,-4.47,0.001
8434,MILKING MACHINES AND DAIRY MACHINERY,25.40,29.81,-4.41,0.001
6117,"OTHER MADE UP CLOTHING ACCESSORIES,       KNITTED OR CROCHETED; KNITTED OR CROCHETED PARTS OF GARMENTS OR OF CLOTHING AC",11.89,16.27,-4.38,0.001
2201,"WATERS, INCLUDING NATURAL OR ARTIFICIAL   MINERAL WATERS AND AERATED WATERS, NOT    CONTAINING ADDED SUGAR OR OTHER SWEE",1.04,5.31,-4.28,0.001
8606,"RALWY/TRMWY GOODS VAN AND WAGN,NT SELF",0.09,4.27,-4.18,0.001
4415,"PCKNG CASES,BXES,CRTS,DRMS AND SMLR PCKNGS  OF WOOD; CBLE DRMS OF WOOD; PALLET, BOX   PALLETS AND OTHR LOAD BOARDS OF WO",16.79,20.85,-4.06,0.001
6501,HAT,0.84,4.89,-4.04,0.001
5505,"WASTE (INCLUDING NOILS, YARN WASTE AND    GARNETTED STOCK) OF MAN",5.55,9.51,-3.96,0.001
9202,"OTHER STRING MUSICAL INSTRUMENTS (FOR     EXAMPLE, GUITARS, VIOLINS, HARPS)",9.45,13.39,-3.95,0.001
8548,"WAST AND SCRAP OF PRIMARY CELLS,BATRS AND     ELECTRC ACUMULTRS; SPENT PRMRY CELS,      BATRSELCTRC ACUMULTRS,ELCTRCL PR",1.27,5.19,-3.92,0.001
5910,"TRNSMSN/CONVYR BLTS/BLTNG OF TXTL MATRL   WH/NT IMPRGNTD COTD,COVRD/LAMNTD WTH PLSTCOR RINFRCD WTH MTL/OTHR MATRL",9.30,13.15,-3.85,0.001
5604,"RUBR THRD AND CORD,TXTL COVRD;TXTL YRN AND    STRIP AND THE LIKE OF HEDNG NO.5404/5405    IMPRGNTD COTD,COVRD/SHTHD WTH",3.81,7.51,-3.71,0.001
9618,TALRSDUMIS AND OTHRLAY FGRS;AUTMTA AND OTHR  ANMTD DISPLAYS USED FR SHOP WINDOW DRSSNG,1.24,4.89,-3.65,0.001
0508,"CORAL AND SIMILAR MATERIALS, UNWORKED OR  SIMPLY PREPARED BUT NOT OTHERWISE WORKED; SHELLS OF MOLLUSCS, CRUSTACEANS OR E",3.75,7.29,-3.55,0.001
